Date,Price,Open,High,Low,Vol.,Change %
13/12/2020,"8,644.47","8,668.31","8,680.83","8,633.81",321.96M,0.01%
10/12/2020,"8,643.97","8,660.21","8,667.98","8,637.23",338.73M,-0.19%
09/12/2020,"8,660.21","8,612.13","8,663.86","8,613.57",367.76M,0.56%
08/12/2020,"8,612.13","8,633.38","8,636.37","8,584.49",391.85M,-0.25%
07/12/2020,"8,633.38","8,581.68","8,633.38","8,536.92",369.44M,0.60%
06/12/2020,"8,581.68","8,674.97","8,703.33","8,580.92",376.34M,-1.08%
03/12/2020,"8,674.97","8,694.13","8,691.96","8,638.27",352.91M,-0.22%
02/12/2020,"8,694.13","8,722.12","8,720.33","8,658.75",357.24M,-0.32%
01/12/2020,"8,722.12","8,747.09","8,731.36","8,692.59",649.87M,-0.29%
30/11/2020,"8,747.09","8,708.59","8,747.09","8,660.72",505.90M,0.44%
29/11/2020,"8,708.59","8,713.91","8,730.30","8,695.11",444.73M,0.17%
26/11/2020,"8,693.47","8,688.76","8,693.47","8,608.45",487.46M,0.05%
25/11/2020,"8,688.76","8,636.14","8,721.45","8,667.60",533.91M,0.61%
24/11/2020,"8,636.14","8,610.84","8,675.36","8,618.84",496.53M,0.29%
23/11/2020,"8,610.84","8,588.17","8,623.69","8,547.51",483.85M,0.26%
22/11/2020,"8,588.17","8,578.42","8,629.18","8,580.83",452.25M,0.11%
19/11/2020,"8,578.42","8,621.19","8,616.23","8,571.47",429.89M,-0.50%
18/11/2020,"8,621.19","8,572.73","8,621.19","8,548.28",529.22M,0.57%
17/11/2020,"8,572.73","8,526.64","8,582.48","8,534.19",551.70M,0.54%
16/11/2020,"8,526.64","8,501.58","8,526.64","8,458.45",507.40M,0.29%
15/11/2020,"8,501.58","8,434.90","8,507.67","8,454.27",456.27M,0.79%
12/11/2020,"8,434.90","8,449.66","8,449.94","8,409.17",346.24M,-0.17%
11/11/2020,"8,449.66","8,405.04","8,453.01","8,376.97",407.55M,0.53%
10/11/2020,"8,405.04","8,366.46","8,510.68","8,326.01",618.92M,0.46%
09/11/2020,"8,366.46","8,160.35","8,366.46","8,178.33",440.96M,2.53%
08/11/2020,"8,160.35","8,089.15","8,160.35","8,065.27",287.36M,0.88%
05/11/2020,"8,089.15","8,088.73","8,091.58","8,029.84",262.88M,0.01%
04/11/2020,"8,088.73","7,998.59","8,118.73","8,046.48",319.79M,1.13%
03/11/2020,"7,998.59","8,021.02","8,082.83","7,998.59",291.33M,-0.28%
02/11/2020,"8,021.02","7,864.78","8,032.99","7,874.30",305.73M,1.99%
01/11/2020,"7,864.78","7,907.72","7,920.53","7,842.69",229.68M,-0.54%
29/10/2020,"7,907.72","8,123.05","8,039.41","7,907.72",356.35M,-2.65%
28/10/2020,"8,123.05","8,198.90","8,223.60","8,113.19",319.83M,-0.93%
27/10/2020,"8,198.90","8,155.31","8,198.90","8,101.02",318.75M,0.53%
26/10/2020,"8,155.31","8,154.59","8,267.09","8,020.41",498.72M,0.01%
25/10/2020,"8,154.59","8,505.18","8,487.49","8,154.59",364.10M,-4.12%
22/10/2020,"8,505.18","8,496.85","8,505.18","8,439.43",324.88M,0.10%
21/10/2020,"8,496.85","8,533.00","8,567.30","8,496.85",372.73M,-0.42%
20/10/2020,"8,533.00","8,547.61","8,533.00","8,466.28",440.55M,-0.17%
19/10/2020,"8,547.61","8,560.81","8,581.55","8,531.23",377.31M,-0.15%
18/10/2020,"8,560.81","8,553.79","8,598.58","8,546.84",415.13M,0.08%
15/10/2020,"8,553.79","8,592.10","8,593.62","8,516.64",533.11M,-0.45%
14/10/2020,"8,592.10","8,610.38","8,613.59","8,577.34",543.23M,-0.10%
13/10/2020,"8,601.07","8,544.94","8,614.50","8,533.30",477.83M,0.66%
12/10/2020,"8,544.94","8,513.26","8,548.52","8,481.29",479.30M,0.37%
11/10/2020,"8,513.26","8,412.55","8,513.97","8,436.83",454.64M,1.20%
08/10/2020,"8,412.55","8,358.79","8,420.14","8,349.61",436.52M,0.64%
07/10/2020,"8,358.79","8,369.33","8,381.18","8,338.31",431.48M,-0.13%
06/10/2020,"8,369.33","8,257.67","8,369.33","8,249.48",482.53M,1.35%
05/10/2020,"8,257.67","8,177.76","8,257.67","8,095.88",505.84M,0.98%
04/10/2020,"8,177.76","8,295.05","8,287.97","8,177.76",496.82M,-1.41%
01/10/2020,"8,295.05","8,299.08","8,340.31","8,263.37",712.34M,-0.05%
30/09/2020,"8,299.08","8,284.34","8,312.54","8,272.59",542.69M,0.18%
29/09/2020,"8,284.34","8,334.65","8,360.93","8,284.34",627.75M,-0.60%
28/09/2020,"8,334.65","8,293.62","8,373.34","8,313.04",672.46M,0.49%
27/09/2020,"8,293.62","8,236.17","8,302.50","8,244.56",560.80M,0.70%
24/09/2020,"8,236.17","8,244.82","8,265.33","8,199.48",407.32M,-0.10%
22/09/2020,"8,244.82","8,291.35","8,287.44","8,213.14",407.81M,-0.56%
21/09/2020,"8,291.35","8,364.61","8,390.25","8,291.35",512.40M,-0.88%
20/09/2020,"8,364.61","8,337.88","8,376.83","8,332.59",439.64M,0.32%
17/09/2020,"8,337.88","8,311.21","8,339.29","8,279.64",519.54M,0.32%
16/09/2020,"8,311.21","8,321.74","8,377.97","8,290.20",593.96M,-0.13%
15/09/2020,"8,321.74","8,256.07","8,328.53","8,252.09",613.21M,0.80%
14/09/2020,"8,256.07","8,203.57","8,265.53","8,140.16",782.26M,0.64%
13/09/2020,"8,203.57","8,135.16","8,206.00","8,157.22",516.12M,0.84%
10/09/2020,"8,135.16","8,079.74","8,151.61","8,090.21",543.59M,0.69%
09/09/2020,"8,079.74","8,089.54","8,079.74","8,022.46",508.05M,-0.12%
08/09/2020,"8,089.54","8,050.14","8,103.94","8,054.74",529.05M,0.49%
07/09/2020,"8,050.14","8,024.62","8,066.24","8,026.06",433.54M,0.32%
06/09/2020,"8,024.62","8,007.06","8,034.53","7,978.70",401.63M,-0.25%
03/09/2020,"8,045.09","8,013.44","8,053.71","8,001.43",564.10M,0.39%
02/09/2020,"8,013.44","7,898.86","8,013.44","7,861.61",497.72M,1.45%
01/09/2020,"7,898.86","7,940.70","7,995.55","7,898.86",514.15M,-0.53%
31/08/2020,"7,940.70","7,983.82","8,017.28","7,940.70",546.49M,-0.54%
30/08/2020,"7,983.82","7,934.43","7,984.27","7,929.61",369.58M,0.62%
27/08/2020,"7,934.43","7,955.04","7,977.04","7,924.68",420.28M,-0.26%
26/08/2020,"7,955.04","7,938.36","7,955.04","7,908.01",388.65M,0.21%
25/08/2020,"7,938.36","7,957.38","7,995.71","7,938.36",393.94M,-0.24%
24/08/2020,"7,957.38","7,901.93","7,957.38","7,892.48",396.87M,0.70%
23/08/2020,"7,901.93","7,842.84","7,901.93","7,848.70",364.92M,0.75%
20/08/2020,"7,842.84","7,853.05","7,848.30","7,812.27",299.45M,-0.13%
19/08/2020,"7,853.05","7,853.57","7,890.79","7,842.15",388.12M,-0.01%
18/08/2020,"7,853.57","7,757.26","7,853.57","7,734.22",328.38M,1.24%
17/08/2020,"7,757.26","7,759.48","7,800.91","7,700.90",407.84M,-0.03%
16/08/2020,"7,759.48","7,704.25","7,760.35","7,716.02",312.37M,0.72%
13/08/2020,"7,704.25","7,645.55","7,708.78","7,652.35",339.68M,0.77%
12/08/2020,"7,645.55","7,626.23","7,646.51","7,601.67",312.72M,0.25%
11/08/2020,"7,626.23","7,535.96","7,626.23","7,536.34",386.55M,1.20%
10/08/2020,"7,535.96","7,530.31","7,545.31","7,517.30",297.46M,0.08%
09/08/2020,"7,530.31","7,499.97","7,533.86","7,490.80",282.12M,0.40%
06/08/2020,"7,499.97","7,470.26","7,518.13","7,486.39",242.26M,0.40%
05/08/2020,"7,470.26","7,459.21","7,505.22","7,459.77",229.08M,0.15%
28/07/2020,"7,459.21","7,455.74","7,459.26","7,437.54",201.69M,0.05%
27/07/2020,"7,455.74","7,434.05","7,463.16","7,423.95",186.59M,0.29%
26/07/2020,"7,434.05","7,426.78","7,444.21","7,403.78",223.26M,0.10%
23/07/2020,"7,426.78","7,427.89","7,430.47","7,406.71",232.58M,-0.01%
22/07/2020,"7,427.89","7,417.26","7,436.03","7,411.93",320.82M,0.14%
21/07/2020,"7,417.26","7,377.36","7,417.26","7,373.83",328.00M,0.54%
20/07/2020,"7,377.36","7,423.23","7,409.89","7,257.16",419.03M,0.97%
19/07/2020,"7,306.64","7,438.96","7,449.12","7,257.18",290.79M,-1.62%
16/07/2020,"7,426.76","7,418.04","7,439.32","7,416.85",272.74M,0.00%
15/07/2020,"7,426.76","7,385.69","7,439.32","7,383.09",272.74M,0.63%
14/07/2020,"7,380.35","7,412.21","7,410.09","7,357.00",267.92M,-0.43%
13/07/2020,"7,412.21","7,431.58","7,443.47","7,406.01",341.35M,-0.26%
12/07/2020,"7,431.58","7,439.66","7,450.58","7,425.36",303.43M,0.20%
09/07/2020,"7,416.67","7,394.26","7,439.73","7,405.27",314.26M,0.30%
08/07/2020,"7,394.26","7,400.53","7,415.52","7,391.47",317.68M,-0.08%
07/07/2020,"7,400.53","7,390.59","7,427.42","7,391.17",267.13M,0.13%
06/07/2020,"7,390.59","7,388.49","7,424.79","7,375.01",395.53M,0.03%
05/07/2020,"7,388.49","7,312.24","7,388.67","7,329.71",303.52M,1.04%
02/07/2020,"7,312.24","7,253.33","7,312.24","7,271.41",211.10M,0.81%
01/07/2020,"7,253.33","7,224.09","7,283.68","7,213.99",215.52M,0.40%
30/06/2020,"7,224.09","7,296.79","7,328.26","7,224.09",315.09M,-0.87%
29/06/2020,"7,287.41","7,292.62","7,307.54","7,269.49",326.47M,-0.07%
28/06/2020,"7,292.62","7,232.34","7,298.86","7,259.66",217.66M,0.83%
25/06/2020,"7,232.34","7,213.36","7,244.35","7,155.32",223.50M,0.26%
24/06/2020,"7,213.36","7,265.08","7,272.55","7,196.69",246.31M,-0.71%
23/06/2020,"7,265.08","7,260.09","7,276.70","7,218.63",217.19M,0.07%
22/06/2020,"7,260.09","7,345.88","7,342.07","7,244.51",265.53M,-1.17%
21/06/2020,"7,345.88","7,355.66","7,381.98","7,343.93",255.00M,-0.13%
18/06/2020,"7,355.66","7,309.67","7,355.66","7,293.39",398.58M,0.63%
17/06/2020,"7,309.67","7,308.21","7,355.14","7,291.95",331.25M,0.02%
16/06/2020,"7,308.21","7,263.65","7,358.16","7,284.40",351.33M,0.61%
15/06/2020,"7,263.65","7,292.54","7,272.18","7,229.17",296.98M,-0.40%
14/06/2020,"7,292.54","7,309.80","7,306.50","7,252.78",2.35B,-0.24%
11/06/2020,"7,309.80","7,328.09","7,309.80","7,254.85",259.73M,-0.25%
10/06/2020,"7,328.09","7,329.38","7,339.29","7,287.17",264.53M,-0.02%
09/06/2020,"7,329.38","7,300.48","7,329.38","7,277.88",264.66M,0.40%
08/06/2020,"7,300.48","7,272.55","7,306.01","7,247.74",275.32M,0.45%
07/06/2020,"7,267.86","7,207.78","7,277.70","7,233.67",225.87M,0.83%
04/06/2020,"7,207.78","7,222.41","7,207.78","7,129.25",234.18M,-0.20%
03/06/2020,"7,222.41","7,285.23","7,311.85","7,202.39",286.85M,-0.86%
02/06/2020,"7,285.23","7,288.81","7,321.36","7,277.63",343.52M,-0.05%
01/06/2020,"7,288.81","7,213.03","7,288.81","7,202.14",349.59M,1.05%
31/05/2020,"7,213.03","7,050.66","7,338.96","7,149.71",307.44M,2.30%
21/05/2020,"7,050.66","7,050.17","7,084.00","7,037.81",274.85M,0.01%
20/05/2020,"7,050.17","7,044.56","7,073.50","7,014.65",190.72M,0.08%
19/05/2020,"7,044.56","6,921.15","7,057.61","6,961.79",242.30M,1.78%
18/05/2020,"6,921.15","6,824.70","6,944.16","6,862.50",230.18M,1.41%
17/05/2020,"6,824.70","6,716.98","6,825.47","6,778.75",198.54M,1.60%
14/05/2020,"6,716.98","6,721.24","6,731.82","6,680.75",158.06M,-0.06%
13/05/2020,"6,721.24","6,684.42","6,762.71","6,719.65",192.59M,0.55%
12/05/2020,"6,684.42","6,603.96","6,724.78","6,622.86",222.87M,1.22%
11/05/2020,"6,603.96","6,682.91","6,634.91","6,448.66",223.16M,-1.18%
10/05/2020,"6,682.91","6,628.53","6,706.51","6,658.13",148.05M,0.82%
07/05/2020,"6,628.53","6,655.11","6,677.85","6,602.67",177.48M,-0.40%
06/05/2020,"6,655.11","6,710.51","6,810.46","6,655.11",223.46M,-0.83%
05/05/2020,"6,710.51","6,595.97","6,762.41","6,700.88",228.55M,1.74%
04/05/2020,"6,595.97","6,585.58","6,672.83","6,492.53",252.06M,0.16%
03/05/2020,"6,585.58","7,112.90","6,726.67","6,575.31",305.74M,-7.41%
30/04/2020,"7,112.90","6,985.33","7,112.90","7,024.98",300.44M,1.83%
29/04/2020,"6,985.33","6,884.82","7,013.95","6,898.68",271.51M,1.46%
28/04/2020,"6,884.82","6,827.80","6,884.82","6,809.36",233.88M,0.84%
27/04/2020,"6,827.80","6,838.67","6,899.32","6,813.67",268.82M,-0.16%
26/04/2020,"6,838.67","6,604.90","6,843.59","6,698.51",234.07M,3.54%
23/04/2020,"6,604.90","6,541.47","6,640.64","6,587.31",201.61M,0.97%
22/04/2020,"6,541.47","6,496.72","6,564.00","6,444.71",199.49M,0.69%
21/04/2020,"6,496.72","6,601.07","6,554.60","6,454.93",189.54M,-1.58%
20/04/2020,"6,601.07","6,678.44","6,665.35","6,576.20",152.06M,-1.16%
19/04/2020,"6,678.44","6,631.69","6,712.47","6,652.98",140.65M,0.70%
16/04/2020,"6,631.69","6,813.67","6,806.35","6,631.69",162.60M,-2.67%
15/04/2020,"6,813.67","6,874.64","6,913.88","6,804.97",176.55M,-0.89%
14/04/2020,"6,874.64","6,804.54","6,874.64","6,791.82",175.01M,1.03%
13/04/2020,"6,804.54","6,865.74","6,914.17","6,804.54",169.32M,-0.89%
12/04/2020,"6,865.74","7,006.24","7,012.51","6,855.85",195.00M,-2.01%
09/04/2020,"7,006.24","6,999.34","7,073.95","6,988.96",239.31M,0.10%
08/04/2020,"6,999.34","6,986.40","6,999.34","6,926.61",238.61M,0.19%
07/04/2020,"6,986.40","6,860.92","6,986.40","6,854.15",262.77M,1.83%
06/04/2020,"6,860.92","6,752.19","6,860.92","6,731.47",212.84M,1.61%
05/04/2020,"6,752.19","6,749.69","6,881.39","6,738.70",278.74M,0.04%
02/04/2020,"6,749.69","6,569.39","6,749.69","6,600.57",262.64M,2.74%
01/04/2020,"6,569.39","6,505.35","6,569.39","6,479.28",170.89M,0.98%
31/03/2020,"6,505.35","6,373.29","6,529.26","6,396.27",219.73M,2.07%
30/03/2020,"6,373.29","6,376.62","6,404.41","6,354.35",164.72M,-0.05%
29/03/2020,"6,376.62","6,326.92","6,385.94","6,260.45",161.30M,0.79%
26/03/2020,"6,326.92","6,208.65","6,326.92","6,254.81",146.67M,1.90%
25/03/2020,"6,208.65","6,193.66","6,401.82","6,171.91",330.44M,0.24%
24/03/2020,"6,193.66","5,990.23","6,213.22","6,095.29",204.97M,3.40%
23/03/2020,"5,990.23","6,171.91","6,173.11","5,974.78",190.44M,-2.94%
22/03/2020,"6,171.91","6,267.56","6,284.40","6,159.21",165.16M,-1.53%
19/03/2020,"6,267.56","6,154.85","6,347.89","6,105.16",359.73M,1.83%
18/03/2020,"6,154.85","6,107.05","6,235.30","6,097.61",226.12M,0.78%
17/03/2020,"6,107.05","5,959.69","6,182.01","5,971.61",258.60M,2.47%
16/03/2020,"5,959.69","6,287.36","6,184.37","5,959.69",253.77M,-5.21%
15/03/2020,"6,287.36","6,357.06","6,497.71","6,287.36",211.46M,-1.10%
12/03/2020,"6,357.06","6,552.49","6,456.65","6,178.07",255.98M,-2.98%
11/03/2020,"6,552.49","6,762.03","6,828.11","6,492.32",282.57M,-3.10%
10/03/2020,"6,762.03","6,315.51","6,779.43","6,486.95",345.46M,7.07%
09/03/2020,"6,315.51","6,846.36","6,461.50","6,196.98",283.91M,-7.75%
08/03/2020,"6,846.36","7,467.52","7,027.98","6,835.33",295.73M,-8.32%
05/03/2020,"7,467.52","7,524.50","7,571.19","7,457.62",145.77M,-0.76%
04/03/2020,"7,524.50","7,556.52","7,531.43","7,416.59",174.56M,-0.42%
03/03/2020,"7,556.52","7,349.19","7,561.31","7,475.49",171.03M,2.82%
02/03/2020,"7,349.19","7,345.10","7,561.90","7,349.19",198.26M,0.06%
01/03/2020,"7,345.10","7,628.34","7,461.16","7,314.88",184.11M,-3.71%
27/02/2020,"7,628.34","7,711.12","7,678.51","7,561.50",179.74M,-1.07%
26/02/2020,"7,711.12","7,758.15","7,729.36","7,655.84",157.35M,-0.61%
25/02/2020,"7,758.15","7,747.10","7,776.30","7,687.54",143.73M,0.14%
24/02/2020,"7,747.10","7,982.95","7,965.56","7,745.51",181.57M,-2.95%
23/02/2020,"7,982.95","8,007.39","8,015.03","7,953.81",122.26M,-0.31%
20/02/2020,"8,007.39","7,967.60","8,031.02","7,975.18",147.73M,0.50%
19/02/2020,"7,967.60","7,858.93","7,967.60","7,862.47",111.91M,1.38%
18/02/2020,"7,858.93","7,872.55","7,877.64","7,845.24",96.87M,-0.17%
17/02/2020,"7,872.55","7,836.96","7,895.61","7,843.56",99.23M,0.45%
16/02/2020,"7,836.96","7,874.41","7,886.89","7,819.31",121.36M,-0.48%
13/02/2020,"7,874.41","7,915.36","7,937.53","7,839.47",188.56M,-0.52%
12/02/2020,"7,915.36","7,895.64","7,923.06","7,876.81",148.13M,0.25%
11/02/2020,"7,895.64","7,971.93","7,956.38","7,895.64",136.60M,-0.96%
10/02/2020,"7,971.93","7,952.52","7,979.68","7,919.58",120.65M,0.24%
09/02/2020,"7,952.52","8,053.09","8,085.39","7,890.09",152.18M,-1.25%
06/02/2020,"8,053.09","8,094.36","8,123.87","8,036.52",171.72M,-0.51%
05/02/2020,"8,094.36","8,138.40","8,179.31","8,084.91",153.27M,-0.54%
04/02/2020,"8,138.40","8,112.69","8,149.08","8,120.95",148.54M,0.32%
03/02/2020,"8,112.69","8,157.51","8,194.73","8,112.69",151.23M,-0.55%
02/02/2020,"8,157.51","8,246.59","8,187.98","8,138.62",157.67M,-1.08%
30/01/2020,"8,246.59","8,185.51","8,255.41","8,166.76",145.69M,0.75%
29/01/2020,"8,185.51","8,166.08","8,216.66","8,156.42",143.04M,0.24%
28/01/2020,"8,166.08","8,178.47","8,206.14","8,153.03",133.75M,-0.15%
27/01/2020,"8,178.47","8,326.97","8,335.20","8,178.47",174.69M,-1.78%
26/01/2020,"8,326.97","8,386.35","8,360.52","8,319.22",175.17M,-0.71%
23/01/2020,"8,386.35","8,428.21","8,412.60","8,356.32",181.02M,-0.50%
22/01/2020,"8,428.21","8,445.33","8,470.57","8,428.21",170.02M,-0.20%
21/01/2020,"8,445.33","8,469.71","8,465.72","8,431.01",174.82M,-0.29%
20/01/2020,"8,469.71","8,449.29","8,473.50","8,437.69",174.43M,0.24%
19/01/2020,"8,449.29","8,459.80","8,490.38","8,441.55",158.06M,-0.12%
16/01/2020,"8,459.80","8,432.56","8,459.80","8,423.46",168.72M,0.32%
15/01/2020,"8,432.56","8,474.81","8,480.85","8,432.56",217.03M,-0.50%
14/01/2020,"8,474.81","8,441.14","8,479.35","8,419.82",206.94M,0.40%
13/01/2020,"8,441.14","8,371.13","8,455.24","8,370.12",189.62M,0.84%
12/01/2020,"8,371.13","8,345.77","8,406.23","8,358.88",168.53M,0.30%
09/01/2020,"8,345.77","8,124.11","8,345.77","8,226.28",183.50M,2.73%
08/01/2020,"8,124.11","8,198.97","8,169.16","8,076.79",160.90M,-0.91%
07/01/2020,"8,198.97","8,206.13","8,269.31","8,181.94",143.52M,-0.09%
06/01/2020,"8,206.13","8,193.72","8,210.81","8,123.91",157.83M,0.15%
05/01/2020,"8,193.72","8,397.01","8,305.33","8,189.95",175.92M,-2.42%
02/01/2020,"8,397.01","8,358.85","8,397.01","8,368.21",147.58M,0.46%
01/01/2020,"8,358.85","8,389.23","8,389.86","8,354.95",146.53M,-0.36%
31/12/2019,"8,389.23","8,345.01","8,389.23","8,323.89",156.03M,0.53%
30/12/2019,"8,345.01","8,411.94","8,419.75","8,345.01",179.16M,-0.80%
29/12/2019,"8,411.94","8,353.14","8,423.37","8,358.33",190.68M,0.70%
26/12/2019,"8,353.14","8,342.79","8,370.23","8,316.75",155.85M,0.12%
25/12/2019,"8,342.79","8,419.84","8,424.00","8,333.28",200.42M,-0.92%
24/12/2019,"8,419.84","8,416.39","8,439.75","8,389.19",222.34M,0.04%
23/12/2019,"8,416.39","8,300.73","8,416.39","8,303.94",219.69M,1.39%
22/12/2019,"8,300.73","8,291.39","8,300.73","8,272.77",173.49M,0.11%
19/12/2019,"8,291.39","8,253.43","8,307.85","8,223.73",294.00M,0.46%
18/12/2019,"8,253.43","8,197.39","8,267.72","8,169.96",243.30M,0.68%
17/12/2019,"8,197.39","8,138.99","8,197.39","8,130.05",281.27M,0.72%
16/12/2019,"8,138.99","8,049.50","8,211.73","8,056.76",234.28M,1.11%
15/12/2019,"8,049.50","8,005.77","8,100.40","8,023.60",194.84M,0.55%
12/12/2019,"8,005.77","8,133.72","8,161.05","8,005.77",540.68M,-1.57%
11/12/2019,"8,133.72","8,066.42","8,167.94","8,078.78",179.05M,0.83%
10/12/2019,"8,066.42","8,120.01","8,132.86","8,066.42",107.85M,-0.66%
09/12/2019,"8,120.01","8,098.74","8,209.32","8,112.32",160.57M,0.26%
08/12/2019,"8,098.74","7,905.51","8,114.20","7,907.58",129.82M,2.44%
05/12/2019,"7,905.51","7,871.20","7,924.94","7,845.77",94.27M,0.44%
04/12/2019,"7,871.20","7,883.03","7,885.72","7,808.54",102.35M,-0.15%
03/12/2019,"7,883.03","7,833.38","7,888.41","7,831.18",103.27M,0.63%
02/12/2019,"7,833.38","7,901.93","7,916.51","7,827.66",80.78M,-0.87%
01/12/2019,"7,901.93","7,859.06","7,910.63","7,859.16",62.06M,0.55%
28/11/2019,"7,859.06","7,853.08","7,889.10","7,823.28",82.00M,0.08%
27/11/2019,"7,853.08","7,877.83","7,927.60","7,825.72",90.16M,-0.31%
26/11/2019,"7,877.83","8,013.69","8,024.69","7,877.83",190.10M,-1.70%
25/11/2019,"8,013.69","7,999.57","8,026.62","7,944.93",104.95M,0.18%
24/11/2019,"7,999.57","8,062.61","8,084.89","7,999.57",82.46M,-0.78%
21/11/2019,"8,062.61","8,054.06","8,062.61","8,030.91",177.28M,0.11%
20/11/2019,"8,054.06","8,045.32","8,054.49","8,018.21",105.73M,0.11%
19/11/2019,"8,045.32","8,000.33","8,045.32","7,993.01",120.00M,0.56%
18/11/2019,"8,000.33","7,927.95","8,000.33","7,933.83",110.37M,0.91%
17/11/2019,"7,927.95","7,924.19","7,952.64","7,871.28",76.37M,0.05%
14/11/2019,"7,924.19","7,932.52","7,988.02","7,908.04",149.47M,-0.11%
13/11/2019,"7,932.52","7,981.31","8,020.88","7,907.46",119.67M,-0.61%
12/11/2019,"7,981.31","7,922.41","7,990.68","7,909.86",112.32M,0.74%
11/11/2019,"7,922.41","7,874.58","7,922.41","7,878.76",106.19M,0.61%
10/11/2019,"7,874.58","7,798.25","7,904.07","7,819.72",106.85M,0.98%
07/11/2019,"7,798.25","7,749.26","7,844.70","7,739.75",117.21M,0.63%
06/11/2019,"7,749.26","7,782.28","7,793.88","7,737.81",87.95M,-0.42%
05/11/2019,"7,782.28","7,653.21","7,782.28","7,642.52",108.45M,1.69%
04/11/2019,"7,653.21","7,590.33","7,653.21","7,559.16",92.04M,0.83%
03/11/2019,"7,590.33","7,744.08","7,691.94","7,558.08",85.80M,-1.99%
31/10/2019,"7,744.08","7,792.76","7,777.37","7,719.04",80.83M,-0.62%
30/10/2019,"7,792.76","7,693.61","7,792.76","7,659.01",103.38M,1.29%
29/10/2019,"7,693.61","7,784.71","7,786.66","7,652.91",131.12M,-1.17%
28/10/2019,"7,784.71","7,891.73","7,893.14","7,779.95",104.96M,-1.36%
27/10/2019,"7,891.73","7,913.28","7,924.14","7,879.14",86.70M,-0.27%
24/10/2019,"7,913.28","7,887.36","7,913.28","7,858.45",101.37M,0.33%
23/10/2019,"7,887.36","7,872.74","7,892.63","7,824.51",116.69M,0.19%
22/10/2019,"7,872.74","7,764.09","7,877.62","7,766.81",134.32M,1.40%
21/10/2019,"7,764.09","7,784.94","7,796.25","7,693.26",109.21M,-0.27%
20/10/2019,"7,784.94","7,635.82","7,812.39","7,708.91",132.96M,1.95%
17/10/2019,"7,635.82","7,518.37","7,635.82","7,493.51",100.82M,1.56%
16/10/2019,"7,518.37","7,481.53","7,524.85","7,396.60",104.24M,0.49%
15/10/2019,"7,481.53","7,599.06","7,604.54","7,481.53",90.45M,-1.55%
14/10/2019,"7,599.06","7,631.02","7,645.81","7,578.05",133.34M,-0.42%
13/10/2019,"7,631.02","7,695.48","7,763.44","7,631.02",74.35M,-0.84%
10/10/2019,"7,695.48","7,715.89","7,727.04","7,634.78",89.30M,-0.26%
09/10/2019,"7,715.89","7,832.93","7,833.03","7,715.89",91.70M,-1.49%
08/10/2019,"7,832.93","7,878.23","7,884.58","7,771.34",109.80M,-0.57%
07/10/2019,"7,878.23","7,962.77","7,973.32","7,878.23",106.33M,-1.06%
06/10/2019,"7,962.77","7,921.15","7,985.77","7,941.12",103.92M,0.53%
03/10/2019,"7,921.15","7,984.43","7,957.37","7,903.09",111.62M,-0.79%
02/10/2019,"7,984.43","8,052.71","8,056.33","7,964.95",116.90M,-0.85%
01/10/2019,"8,052.71","8,091.76","8,128.37","8,052.71",121.90M,-0.48%
30/09/2019,"8,091.76","8,055.26","8,111.61","8,059.91",135.00M,0.45%
29/09/2019,"8,055.26","8,028.19","8,068.73","8,022.98",86.25M,0.34%
26/09/2019,"8,028.19","8,030.29","8,060.03","8,010.28",100.49M,-0.03%
25/09/2019,"8,030.29","8,069.55","8,073.26","7,994.92",129.77M,-0.49%
24/09/2019,"8,069.55","7,954.14","8,073.25","7,948.93",109.72M,1.45%
22/09/2019,"7,954.14","7,926.82","7,959.52","7,884.04",78.13M,0.34%
